id,countryKey,countryLabel,indicator,periodType,periodFrom,periodTo,unit,value,flowStatus,lastUpdateDateTime,directionKey,adjacentSystemsLabel,operatorLabel,bzShort,date
1AggregatesDEDE-GASPOOL-DE-TSO-0001entryStorage2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,0.0,Provisionnal,2019-11-02 11:21:42+00:00,entry,Storage,GASCADE Gastransport GmbH,GASPOOL,2019-11-01
1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmissionBE-LUX------2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,0.0,Provisionnal,2019-11-02 11:21:42+00:00,entry,BeLux,GASCADE Gastransport GmbH,GASPOOL,2019-11-01
1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmissionCZ---------2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,0.0,Provisionnal,2019-11-02 11:21:42+00:00,entry,Czech,GASCADE Gastransport GmbH,GASPOOL,2019-11-01
1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmissionDE-NCG-----2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,0.0,Provisionnal,2019-11-02 11:21:42+00:00,entry,NCG,GASCADE Gastransport GmbH,GASPOOL,2019-11-01
1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmissionNL---------2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,11952000.0,Provisionnal,2019-11-02 11:21:42+00:00,entry,Netherlands,GASCADE Gastransport GmbH,GASPOOL,2019-11-01
1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmissionPL-YAMAL---2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,929848072.0,Provisionnal,2019-11-02 11:21:42+00:00,entry,YAMAL (TGPS),GASCADE Gastransport GmbH,GASPOOL,2019-11-01
1AggregatesDEDE-GASPOOL-DE-TSO-0001exitStorage2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,0.0,Provisionnal,2019-11-02 11:21:42+00:00,exit,Storage,GASCADE Gastransport GmbH,GASPOOL,2019-11-01
1AggregatesDEDE-GASPOOL-DE-TSO-0001exitTransmissionBE-LUX------2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,75239026.0,Provisionnal,2019-11-02 11:21:42+00:00,exit,BeLux,GASCADE Gastransport GmbH,GASPOOL,2019-11-01
1AggregatesDEDE-GASPOOL-DE-TSO-0001exitTransmissionCZ---------2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,277085383.0,Provisionnal,2019-11-02 11:21:42+00:00,exit,Czech,GASCADE Gastransport GmbH,GASPOOL,2019-11-01
1AggregatesDEDE-GASPOOL-DE-TSO-0001exitTransmissionDE-NCG-----2019-11-01T00:00:00+00:002019-11-02T00:00:00+00:00Allocation,DE,Germany,Allocation,day,2019-11-01T06:00:00+01:00,2019-11-02T06:00:00+01:00,kWh/d,354598232.0,Provisionnal,2019-11-02 11:21:42+00:00,exit,NCG,GASCADE Gastransport GmbH,GASPOOL,2019-11-01
